
Test 1: data-sending time = 2247201 usec, round-trip time = 2557042 usec, # reads = 10217
Test 1: data-sending time = 2256497 usec, round-trip time = 2556068 usec, # reads = 10215
Test 1: data-sending time = 2291369 usec, round-trip time = 2556708 usec, # reads = 10207
Test 1: data-sending time = 2256756 usec, round-trip time = 2556573 usec, # reads = 10207
Test 1: data-sending time = 2256686 usec, round-trip time = 2556656 usec, # reads = 10204
Test 1: data-sending time = 2319803 usec, round-trip time = 2556623 usec, # reads = 10204
Test 1: data-sending time = 2318937 usec, round-trip time = 2556595 usec, # reads = 10202
Test 1: data-sending time = 2247085 usec, round-trip time = 2556718 usec, # reads = 10205
Test 1: data-sending time = 2203237 usec, round-trip time = 2556556 usec, # reads = 10201
Test 1: data-sending time = 2268402 usec, round-trip time = 2556733 usec, # reads = 10203

Test 2: data-sending time = 2254864 usec, round-trip time = 2555942 usec, # reads = 10197
Test 2: data-sending time = 2265605 usec, round-trip time = 2556758 usec, # reads = 10201
Test 2: data-sending time = 2254695 usec, round-trip time = 2556534 usec, # reads = 10198
Test 2: data-sending time = 2228500 usec, round-trip time = 2556676 usec, # reads = 10193
Test 2: data-sending time = 2261164 usec, round-trip time = 2556614 usec, # reads = 10189
Test 2: data-sending time = 2255978 usec, round-trip time = 2556553 usec, # reads = 10199
Test 2: data-sending time = 2261937 usec, round-trip time = 2556548 usec, # reads = 10199
Test 2: data-sending time = 2289913 usec, round-trip time = 2556616 usec, # reads = 10197
Test 2: data-sending time = 2258117 usec, round-trip time = 2556719 usec, # reads = 10196
Test 2: data-sending time = 2254672 usec, round-trip time = 2556760 usec, # reads = 10201

Test 3: data-sending time = 2207814 usec, round-trip time = 2556078 usec, # reads = 10198
Test 3: data-sending time = 2257232 usec, round-trip time = 2556682 usec, # reads = 10201
Test 3: data-sending time = 2205773 usec, round-trip time = 2556673 usec, # reads = 10186
Test 3: data-sending time = 2218851 usec, round-trip time = 2556696 usec, # reads = 10193
Test 3: data-sending time = 2238698 usec, round-trip time = 2556575 usec, # reads = 10198
Test 3: data-sending time = 2263244 usec, round-trip time = 2556642 usec, # reads = 10198
Test 3: data-sending time = 2229572 usec, round-trip time = 2556840 usec, # reads = 10188
Test 3: data-sending time = 2224855 usec, round-trip time = 2556782 usec, # reads = 10190
Test 3: data-sending time = 2210248 usec, round-trip time = 2556661 usec, # reads = 10199
Test 3: data-sending time = 2218887 usec, round-trip time = 2556575 usec, # reads = 10198

Test 1: data-sending time = 2292280 usec, round-trip time = 2556064 usec, # reads = 10226
Test 1: data-sending time = 2258487 usec, round-trip time = 2556637 usec, # reads = 10226
Test 1: data-sending time = 2256707 usec, round-trip time = 2556680 usec, # reads = 10224
Test 1: data-sending time = 2205888 usec, round-trip time = 2556763 usec, # reads = 10223
